Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
31/03/2011;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
17/05/2011;0.5;0;0;0;0;0;0;0.5;0
02/06/2011;0;0;0;0;0.3333;0;0.6667;0;NAN
22/09/2011;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
26/11/2011;0.16666667;0;0.16666667;0.16666667;0.16666667;0;0.16666667;0.16666667;66.66666666
06/10/2013;0;0.33333333;0;0.33333333;0;0.33333333;0;0;50
20/03/2014;0.42855714;0;0.28567143;0.14288571;0.14288571;0;0;0;50
04/06/2014;0.33333333;0;0;0;0.33333333;0;0.33333333;0;0
07/06/2014;0;0;0.33333333;0;0;0.33333333;0;0.33333333;100
06/11/2014;0;0;0;1;0;0;0;0;100
09/12/2014;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
17/12/2014;0.15;0.1;0.1;0.1;0.2;0.15;0.05;0.15;44.44444444
23/01/2015;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
04/03/2015;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
17/04/2016;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
24/05/2018;0;0;0;1;0;0;0;0;100
22/06/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
23/06/2018;0;0;0;0;0;1;0;0;NAN
13/09/2018;0.25;0;0.25;0.25;0;0.25;0;0;66.66666666
14/09/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
25/09/2018;0;0.14287143;0.14287143;0.21425715;0.14287143;0.21425715;0;0.14287143;71.42571457
04/10/2018;0.14288571;0;0.28567143;0;0.28567143;0;0.14288571;0.14288571;66.65888941
07/10/2018;0.22222222;0;0.11111111;0;0.33333333;0;0;0.33333333;33.33333333
08/10/2018;0.25;0.125;0.125;0.25;0.125;0.125;0;0;50
