Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
24/10/2014;0.2;0.2;0;0;0;0.4;0;0.2;0
29/01/2015;0;1;0;0;0;0;0;0;0
19/11/2015;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
17/04/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/01/2019;0.5;0;0;0;0.25;0;0.25;0;0
02/01/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
05/01/2019;0.5;0;0;0.5;0;0;0;0;50
05/03/2019;0.5;0;0;0;0.5;0;0;0;0
07/03/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
10/03/2019;0;0;0.33333333;0.33333333;0;0;0;0.33333333;100
11/03/2019;0.250025;0.08330833;0;0.33333333;0;0.08330833;0.08330833;0.16671667;50
12/03/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
13/03/2019;0.30773077;0.07690769;0.15381538;0.23082308;0;0.15381538;0;0.07690769;50
14/03/2019;0.5;0;0.5;0;0;0;0;0;50
15/03/2019;0.13038696;0.0869913;0.04349565;0.30426957;0.17388261;0.0869913;0.0869913;0.0869913;61.53573956
16/03/2019;0.2;0.08;0.12;0.12;0.16;0.08;0.2;0.04;46.15384616
17/03/2019;0;0.2222;0;0.5556;0;0.1111;0;0.1111;71.43224479
18/03/2019;0.13888611;0.02779722;0.13888611;0.27777222;0.11108889;0.08329167;0.16668333;0.05559444;71.42612273
19/03/2019;0.325;0;0.125;0.1;0.275;0.025;0.15;0;40.90909091
20/03/2019;0.2857;0;0;0.5714;0;0;0.1429;0;66.66666667
21/03/2019;0.28567143;0;0.14288571;0;0.42855714;0;0.14288571;0;33.34111059
22/03/2019;0.4375;0.0625;0.125;0.125;0.0625;0.0625;0.125;0;33.33333334
23/03/2019;0.13638636;0.09089091;0.09089091;0.27267273;0.13638636;0.13638636;0.09089091;0.04549545;61.53325436
