Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
15/03/2019;0.23082308;0.07690769;0.07690769;0.30773077;0.15381538;0.07690769;0;0.07690769;55.5539506
18/03/2019;0.15383077;0.07691538;0.07691538;0.30776155;0.07691538;0.07691538;0.07691538;0.15383077;62.50609418
28/03/2019;0.25;0;0.1667;0.1667;0.25;0;0.0833;0.0833;57.14775454
03/04/2019;0.33333333;0;0;0;0.33333333;0;0.33333333;0;0
08/04/2019;0;0;0.16668333;0.33326667;0;0.16668333;0.16668333;0.16668333;100
27/04/2019;0;0.25;0.25;0.25;0;0.25;0;0;66.66666666
20/06/2019;0.5;0;0.5;0;0;0;0;0;50
30/06/2019;0.15383077;0.07691538;0.15383077;0.30776155;0.15383077;0.07691538;0;0.07691538;66.67148223
08/08/2019;0.16668333;0;0;0.49995;0;0.16668333;0;0.16668333;74.99625019
16/08/2019;0.08;0.08;0.2;0.2;0.04;0.2;0;0.2;71.42857142
18/08/2019;0.33333333;0;0;0.33333333;0.33333333;0;0;0;50
29/08/2019;0;0;0;1;0;0;0;0;100
24/10/2019;0;0;0.5;0;0.5;0;0;0;100
11/11/2019;0;0;0;1;0;0;0;0;100
17/11/2019;0.16666667;0.16666667;0.16666667;0.16666667;0.16666667;0.16666667;0;0;50
30/01/2020;0.5;0;0.25;0;0.25;0;0;0;33.33333333
11/02/2020;0;0;0;0.75;0;0;0.25;0;100
12/03/2020;0.16668333;0;0.16668333;0.49995;0;0;0.16668333;0;79.99760019
20/03/2020;0.33326667;0.16668333;0;0.16668333;0.16668333;0.16668333;0;0;25.00374981
02/04/2020;0;0;0.5;0;0.5;0;0;0;100
11/04/2020;0;0;0;0.5;0;0.5;0;0;100
23/04/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
04/05/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
23/05/2020;0.5;0;0;0.5;0;0;0;0;50
04/09/2020;0;0;1;0;0;0;0;0;100
22/09/2020;0.27272727;0;0.09090909;0.18181818;0.18181818;0.27272727;0;0;50
11/10/2020;0.28564287;0;0.14287143;0.14287143;0.14287143;0.14287143;0.14287143;0;50.00874978
17/11/2020;0.33333333;0;0;0;0.33333333;0;0.33333333;0;0
24/11/2020;0.33333333;0;0.33333333;0.33333333;0;0;0;0;66.66666666
27/11/2020;0.1;0;0.1;0.4;0;0.1;0.2;0.1;83.33333334
29/11/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
09/12/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
11/01/2021;0;0;0;0;0;1;0;0;NAN
28/01/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
20/02/2021;0.4;0;0;0.4;0;0.2;0;0;50
23/02/2021;0;0;0;0.6667;0;0;0.3333;0;100
04/03/2021;0;0;0;0.6667;0;0;0.3333;0;100
06/03/2021;0.33333333;0;0.33333333;0;0;0;0.33333333;0;50
07/03/2021;0.2;0.2;0.2;0.2;0;0.2;0;0;50
08/03/2021;0.04080408;0.24492449;0.06120612;0.22452245;0.06120612;0.24492449;0.04080408;0.08160816;50
09/03/2021;0.23807619;0;0.14288571;0.28567143;0.14288571;0;0.14288571;0.04759524;64.28678566
10/03/2021;0.09520952;0.04760476;0.14291429;0.23812381;0.09520952;0.28572857;0.04760476;0.04760476;72.73768614
11/03/2021;0.1591;0.0682;0.1136;0.1591;0.0682;0.25;0.0909;0.0909;54.54
12/03/2021;0.17648235;0;0.17648235;0.17648235;0.17648235;0.17648235;0.05879412;0.05879412;66.66666666
13/03/2021;0.1667;0;0.3889;0;0.2222;0;0.1111;0.1111;69.99640029
14/03/2021;0.1;0.1;0;0.4;0;0.4;0;0;66.66666667
15/03/2021;0;0;0;1;0;0;0;0;100
16/03/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
17/03/2021;0.1905;0;0.1429;0.1905;0.2857;0.0476;0.0952;0.0476;63.63809888
18/03/2021;0.28567143;0;0;0.28567143;0;0.14288571;0.14288571;0.14288571;50
19/03/2021;0;0;0;1;0;0;0;0;100
20/03/2021;0.33333333;0;0.33333333;0;0;0;0;0.33333333;50
22/03/2021;0.2;0;0.2;0;0.2;0.2;0.2;0;50
25/03/2021;0.2;0.1;0.2;0.1;0.1;0.1;0.1;0.1;50
29/03/2021;0.33333333;0;0.22222222;0.22222222;0.22222222;0;0;0;57.14285714
31/03/2021;0.5;0;0;0.5;0;0;0;0;50
01/04/2021;0.25;0;0;0.25;0.5;0;0;0;50
02/04/2021;0;0;0;0.6;0.2;0;0.2;0;100
04/04/2021;0.33336667;0;0.33336667;0.08331666;0.08331666;0;0.08331666;0.08331666;55.55407373
06/04/2021;0.1667;0.0833;0;0.1667;0.0833;0.25;0.0833;0.1667;40.00479962
07/04/2021;0.14285714;0.14285714;0.14285714;0.14285714;0.14285714;0.14285714;0;0.14285714;50
12/04/2021;0.5;0;0;0;0.5;0;0;0;0
13/04/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
14/04/2021;0.33333333;0;0.33333333;0.33333333;0;0;0;0;66.66666666
15/04/2021;0.25;0;0.1875;0.375;0;0;0.1875;0;69.23076923
16/04/2021;0.125;0.125;0.375;0.125;0.125;0.125;0;0;66.66666667
18/04/2021;0.125;0.125;0.125;0.0625;0.125;0.125;0.125;0.1875;42.85714286
20/04/2021;0.14287143;0;0.14287143;0.14287143;0.14287143;0.14287143;0.28564287;0;66.66666666
22/04/2021;0.33333333;0;0;0.33333333;0;0.33333333;0;0;50
23/04/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
24/04/2021;0.11111111;0;0;0.44444444;0.11111111;0;0.33333333;0;80
27/04/2021;0;0;0;0;0;1;0;0;NAN
30/04/2021;0.13328667;0.06669333;0.26667333;0.19998;0.06669333;0.06669333;0.19998;0;70.00149992
02/05/2021;0.33333333;0;0;0.33333333;0;0.33333333;0;0;50
03/05/2021;0.125;0.0625;0.0625;0.3125;0.0625;0.25;0.0625;0.0625;66.66666667
04/05/2021;0.14287143;0;0.14287143;0.14287143;0.28564287;0;0.14287143;0.14287143;66.66666666
05/05/2021;0;0;0;0.5;0.25;0;0.25;0;100
07/05/2021;0.16668333;0;0.66663334;0;0;0;0;0.16668333;79.99760043
10/05/2021;0.22224445;0;0.14812963;0.11112222;0.14812963;0.14812963;0.11112222;0.11112222;53.84295788
11/05/2021;0.13638636;0.09089091;0.13638636;0.13638636;0.13638636;0.09089091;0.18178182;0.09089091;54.54909018
13/05/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
14/05/2021;0.2;0;0;0.6;0;0;0.2;0;75
15/05/2021;0.25;0;0.25;0.25;0.25;0;0;0;66.66666666
16/05/2021;0.125;0;0.25;0.125;0.125;0.125;0.125;0.125;75
17/05/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
18/05/2021;0.5;0;0;0.5;0;0;0;0;50
19/05/2021;0;0;0;0.5;0;0;0.5;0;100
21/05/2021;0.25;0;0;0.5;0;0;0.25;0;66.66666667
23/05/2021;0.42855714;0;0.14288571;0;0.28567143;0;0.14288571;0;25.00437445
24/05/2021;0.087;0.1304;0.087;0.3043;0.087;0.1304;0.0435;0.1304;64.28454082
