Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
01/04/2011;0.3333;0;0.6667;0;0;0;0;0;66.67
13/08/2011;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
20/03/2013;0;0;0;1;0;0;0;0;100
26/09/2013;0;0;0;1;0;0;0;0;100
06/05/2014;0;0;0;0.8182;0;0;0;0.1818;100
07/05/2014;0;0;1;0;0;0;0;0;100
05/10/2014;0.6;0;0;0;0.4;0;0;0;0
06/10/2014;0;0;0;1;0;0;0;0;100
12/10/2014;0.14285714;0.14285714;0.14285714;0.14285714;0.14285714;0.14285714;0.14285714;0;50
04/11/2014;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
09/12/2014;0.25;0;0;0.25;0.25;0;0.25;0;50
10/12/2014;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
16/12/2014;0;0;0;1;0;0;0;0;100
21/12/2014;0;0.15381538;0;0.23082308;0.23082308;0.15381538;0.07690769;0.15381538;60.01040042
23/04/2015;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
16/04/2016;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
08/12/2016;0;0.16668333;0;0.49995;0;0.16668333;0;0.16668333;74.99625019
07/02/2017;0;0.25;0;0.25;0;0.25;0;0.25;50
13/04/2017;0.2;0.2;0;0;0.2;0.2;0;0.2;0
07/04/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
10/08/2018;0.3333;0;0.6667;0;0;0;0;0;66.67
12/09/2018;0;0;0;1;0;0;0;0;100
22/09/2018;0.1;0;0.3;0;0.3;0;0.2;0.1;75
26/09/2018;0.25;0;0.25;0;0.25;0;0;0.25;50
01/10/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
04/10/2018;0;0.5;0;0.5;0;0;0;0;50
05/10/2018;0;0.16666667;0.16666667;0.16666667;0.16666667;0.16666667;0;0.16666667;66.66666666
06/10/2018;0.18181818;0.09090909;0.18181818;0;0.09090909;0.27272727;0.09090909;0.09090909;40
07/10/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
