Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
02/07/2011;0.28564287;0.14287143;0.14287143;0;0.14287143;0;0.14287143;0.14287143;25.00437489
16/12/2011;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
06/10/2014;0;0;0;1;0;0;0;0;100
30/10/2014;0;0;0;1;0;0;0;0;100
16/12/2014;0.28567143;0;0.14288571;0.14288571;0.14288571;0;0.28567143;0;50.0087489
18/12/2014;0.2;0;0;0.2;0.2;0;0.2;0.2;50
23/04/2015;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
14/12/2015;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
15/02/2016;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
18/04/2016;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
05/05/2016;0;0;0;0;0;1;0;0;NAN
24/06/2016;0;0.125;0.125;0.125;0.125;0.125;0.125;0.25;66.66666666
03/08/2016;0.33333333;0;0.33333333;0.33333333;0;0;0;0;66.66666666
27/09/2016;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/11/2016;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
07/11/2016;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
09/11/2016;0.5;0;0;0;0;0.5;0;0;0
12/08/2017;0;0.25;0;0.25;0;0.25;0;0.25;50
02/11/2017;0.33333333;0.11111111;0.33333333;0.22222222;0;0;0;0;55.55555555
09/11/2017;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
22/11/2017;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
15/02/2018;0.25;0;0.25;0;0.25;0;0.25;0;50
08/03/2018;0;0;1;0;0;0;0;0;100
27/09/2018;0;0;0;0;0;0.3333;0.6667;0;NAN
29/09/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/10/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
03/10/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
12/10/2018;0;1;0;0;0;0;0;0;0
14/10/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
24/10/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
28/10/2018;0;0.250025;0.250025;0.08330833;0;0.250025;0.08330833;0.08330833;57.14040803
29/10/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
03/11/2018;0;0.5;0;0;0;0.5;0;0;0
07/11/2018;0;0;0;1;0;0;0;0;100
16/11/2018;0.25;0;0.25;0;0.25;0;0.25;0;50
13/12/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/01/2019;0.38463846;0;0.07690769;0.07690769;0.23082308;0;0.15381538;0.07690769;28.56612184
02/01/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
05/01/2019;0.5;0;0;0.5;0;0;0;0;50
08/01/2019;0.4;0;0.2;0.2;0.2;0;0;0;50
12/01/2019;0.1;0.1;0.3;0.2;0;0.1;0.1;0.1;71.42857143
15/01/2019;0.2857;0;0.2143;0;0.2143;0.0714;0.0714;0.1429;42.86
24/01/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/02/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
09/02/2019;0.27272727;0;0.36363636;0.09090909;0.09090909;0.09090909;0.09090909;0;62.5
12/02/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
23/02/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
10/03/2019;0.14048595;0.1239876;0.09919008;0.23137686;0.09919008;0.1239876;0.08259174;0.09919008;55.55368846
11/03/2019;0.20244049;0.10712142;0.08331666;0.26195239;0.0595119;0.1190238;0.09521904;0.07141428;52.72643951
12/03/2019;0.28572857;0.09520952;0.14291429;0.23812381;0.04760476;0.09520952;0.09520952;0;50.00656254
13/03/2019;0.1859814;0.06979302;0.1859814;0.16278372;0.23257674;0.02329767;0.11628837;0.02329767;57.69103539
14/03/2019;0.1935;0.0968;0.0645;0.3548;0;0.1613;0.0323;0.0968;59.08962796
