Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
10/03/2019;0.33333333;0;0.33333333;0;0;0;0.33333333;0;50
13/03/2019;0;0;0.2;0;0;0.2;0.6;0;100
17/03/2019;0;0;0;1;0;0;0;0;100
18/03/2019;0;0;0;0;0;1;0;0;NAN
19/03/2019;0;0;0;0.6;0;0;0.4;0;100
29/03/2019;0.125;0.25;0;0.375;0;0.25;0;0;50
02/04/2019;0.15381538;0;0.23082308;0.15381538;0.23082308;0;0.15381538;0.07690769;71.43387816
03/04/2019;0.25;0;0.25;0;0.25;0;0.25;0;50
08/04/2019;0;0.25;0;0.25;0;0.25;0;0.25;50
12/04/2019;0.2;0;0.2;0;0;0.2;0.4;0;50
13/04/2019;0.3333;0;0;0;0;0.6667;0;0;0
14/04/2019;0.2143;0;0.2143;0.3571;0;0;0.2143;0;72.72495863
30/04/2019;0;0.2857;0;0.5714;0;0.1429;0;0;66.66666667
02/05/2019;0.1111;0;0.5556;0;0.1111;0;0.2222;0;83.33583321
04/05/2019;0.4;0;0;0.2;0.2;0;0.2;0;33.33333333
05/05/2019;0;0;0;1;0;0;0;0;100
29/05/2019;0;0;1;0;0;0;0;0;100
09/06/2019;0.5;0;0;0.5;0;0;0;0;50
26/06/2019;0.5;0;0;0.5;0;0;0;0;50
27/06/2019;0;0.33333333;0;0.33333333;0;0.33333333;0;0;50
28/06/2019;0.16668333;0.16668333;0;0.49995;0.16668333;0;0;0;59.99520038
11/07/2019;0.5;0;0;0.5;0;0;0;0;50
12/07/2019;0.4;0;0.4;0;0;0;0.2;0;50
17/07/2019;0.16666667;0.16666667;0.16666667;0.16666667;0.16666667;0;0.16666667;0;50
19/07/2019;0.5;0;0.5;0;0;0;0;0;50
23/07/2019;0.1429;0;0.3571;0.0714;0.1429;0;0.2857;0;74.99124956
05/08/2019;0.14287143;0.14287143;0;0.14287143;0.14287143;0.28564287;0.14287143;0;33.33333333
16/08/2019;1;0;0;0;0;0;0;0;0
23/08/2019;0.25;0;0;0.25;0.25;0;0.25;0;50
24/08/2019;0.4;0;0.2;0;0.2;0;0.2;0;33.33333333
28/08/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
29/08/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
09/09/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
19/09/2019;0;0;0;0.5;0;0.5;0;0;100
04/10/2019;0;0;0;0;0;0.5;0.5;0;NAN
09/10/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
10/10/2019;0;0;0.5;0;0;0.5;0;0;100
11/10/2019;0.4;0;0;0.4;0;0;0;0.2;50
24/10/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/11/2019;0;0;0;1;0;0;0;0;100
11/11/2019;0.09090909;0.09090909;0;0;0.18181818;0.18181818;0.45454545;0;0
17/11/2019;0;0;0;0;0;0;1;0;NAN
21/11/2019;0;0;0;0.33333333;0;0;0.33333333;0.33333333;100
23/11/2019;0;0.2;0;0.4;0;0;0.2;0.2;66.66666667
24/11/2019;0.25;0;0.25;0;0.25;0;0.25;0;50
28/11/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/12/2019;0.17651765;0;0.05880588;0.23532353;0.17651765;0.11761176;0.11761176;0.11761176;62.49468763
02/12/2019;0.28572857;0;0.07140714;0.21432143;0.07140714;0;0.28572857;0.07140714;50
03/12/2019;0.22222222;0;0.11111111;0.22222222;0;0.11111111;0.22222222;0.11111111;60
08/12/2019;0;0;0.25;0.125;0.125;0;0.5;0;100
10/12/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
20/12/2019;0.2;0;0;0.2;0;0.2;0.2;0.2;50
27/12/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
08/01/2020;0;0;0;1;0;0;0;0;100
10/01/2020;0.0667;0;0.1333;0.6;0.0667;0;0.1333;0;91.6625
15/01/2020;0;0;0.5;0;0.1667;0;0.3333;0;100
25/01/2020;0.25;0;0.25;0;0.25;0;0.25;0;50
28/01/2020;0;0.25;0;0.5;0;0;0;0.25;66.66666667
