Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
28/02/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
03/03/2019;0.3;0.1;0.2;0.3;0;0;0.1;0;55.55555555
10/03/2019;0;0.25;0;0.25;0;0.25;0;0.25;50
12/03/2019;0.09090909;0.18181818;0.18181818;0.18181818;0.09090909;0.18181818;0.09090909;0;57.14285714
17/03/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
18/03/2019;0.13332667;0;0.13332667;0.33336667;0;0.13332667;0.13332667;0.13332667;77.77962939
19/03/2019;0.07690769;0.15381538;0.07690769;0.30773077;0;0.23082308;0;0.15381538;62.50609459
25/03/2019;0;0;0;0;0;1;0;0;NAN
28/03/2019;0.16668333;0.16668333;0.16668333;0.33326667;0;0.16668333;0;0;59.99520039
02/04/2019;0.25;0.0625;0.1875;0.0625;0.125;0.0625;0.1875;0.0625;44.44444444
03/04/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
05/04/2019;0.125;0;0;0.25;0;0.5;0;0.125;66.66666667
06/04/2019;0.27272727;0.09090909;0;0.36363636;0.09090909;0.09090909;0;0.09090909;50
07/04/2019;0;0.2;0;0.4;0;0.4;0;0;66.66666667
08/04/2019;0;0.2;0.2;0.4;0;0.2;0;0;75
09/04/2019;0.1333;0.1333;0.2;0.2667;0.0667;0.1333;0;0.0667;63.64380199
10/04/2019;0;0.25;0;0.25;0;0.25;0;0.25;50
19/04/2019;0.09090909;0.09090909;0.09090909;0.09090909;0.18181818;0.27272727;0.09090909;0.09090909;50
22/04/2019;0.2;0.2;0;0.4;0;0.2;0;0;50
25/04/2019;0;0;0;0.6667;0;0;0.3333;0;100
27/04/2019;0.1;0.2;0.2;0.2;0;0.2;0;0.1;57.14285714
29/04/2019;0;0;0;0.5;0;0.5;0;0;100
30/04/2019;0.1667;0.0833;0.1667;0.0833;0.25;0.0833;0.1667;0;50
01/05/2019;0.06670667;0.13331333;0.13331333;0.20002;0;0.20002;0.13331333;0.13331333;62.49765611
02/05/2019;0.05880588;0.23532353;0.05880588;0.29412941;0.05880588;0.17651765;0;0.11761176;54.54404946
03/05/2019;0.2;0.2;0.2;0.2;0;0.1;0;0.1;50
08/05/2019;0;0.2857;0.1429;0.2857;0;0.2857;0;0;60.00279995
09/05/2019;0.14288571;0.28567143;0;0.28567143;0;0.14288571;0;0.14288571;39.99720006
10/05/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
11/05/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
14/05/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
17/05/2019;0.25;0;0;0.25;0.25;0;0.125;0.125;50
19/05/2019;0;0.125;0.125;0.5;0;0.125;0.125;0;83.33333334
22/05/2019;0;0.1;0.4;0.3;0;0.1;0;0.1;87.5
23/05/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
29/05/2019;0.33326667;0;0.16668333;0.16668333;0.16668333;0;0.16668333;0;50.00749962
04/06/2019;0.5;0;0.25;0.25;0;0;0;0;50
05/06/2019;0.2;0;0.2;0.2;0.2;0;0;0.2;66.66666666
09/06/2019;0.25;0;0;0.25;0.25;0;0.25;0;50
14/06/2019;0.5;0;0;0.5;0;0;0;0;50
16/06/2019;0.5;0;0.5;0;0;0;0;0;50
17/06/2019;0.11111111;0.11111111;0.11111111;0.22222222;0.11111111;0.11111111;0.11111111;0.11111111;60
18/06/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
19/06/2019;0.2;0.05;0.1;0.2;0.2;0.1;0.1;0.05;54.54545454
20/06/2019;0.2;0;0;0.4;0;0.4;0;0;66.66666667
28/06/2019;0;0;1;0;0;0;0;0;100
05/07/2019;0.16668333;0.16668333;0;0.33326667;0;0.16668333;0;0.16668333;49.99250037
06/07/2019;0;0.25;0.25;0.25;0;0.25;0;0;66.66666666
07/07/2019;0.15384615;0.07692308;0.07692308;0.15384615;0.15384615;0.07692308;0.15384615;0.15384615;50
09/07/2019;0.11111111;0;0.11111111;0.44444444;0.11111111;0;0.11111111;0.11111111;83.33333334
10/07/2019;0.25;0;0.25;0.25;0;0.25;0;0;66.66666666
14/07/2019;0;0;0;0.4;0;0.4;0.2;0;100
15/07/2019;0.6667;0;0;0.3333;0;0;0;0;33.33
18/07/2019;0.5;0;0;0.5;0;0;0;0;50
23/07/2019;0.0625;0.1875;0.125;0.1875;0.0625;0.1875;0.125;0.0625;55.55555555
26/07/2019;0.6667;0;0.3333;0;0;0;0;0;33.33
31/07/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/08/2019;0;0;0;0.6667;0;0;0.3333;0;100
11/08/2019;0.14288571;0;0.28567143;0;0.28567143;0.14288571;0.14288571;0;66.65888941
12/08/2019;0;0;0;0;0;1;0;0;NAN
13/08/2019;0;0.3333;0;0.5;0;0.1667;0;0;60.0024001
14/08/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
17/08/2019;0;0;0;1;0;0;0;0;100
27/08/2019;0;0;0;0.5714;0;0.2857;0.1429;0;100
28/08/2019;0;0;0;1;0;0;0;0;100
30/08/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
31/08/2019;0.25;0;0;0.625;0;0;0.125;0;71.42857143
02/09/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
03/09/2019;0.5;0;0;0.5;0;0;0;0;50
05/09/2019;0.3333;0;0;0.3333;0.1667;0;0.1667;0;50
24/09/2019;0;0;0.16668333;0.49995;0;0.16668333;0.16668333;0;100
25/09/2019;0.14288571;0.03569643;0.17858214;0.14288571;0.21427857;0.03569643;0.17858214;0.07139286;64.28714257
26/09/2019;0;0;0.5;0;0.25;0;0.25;0;100
28/09/2019;0.05558888;0.16666667;0.05558888;0.38882224;0.11107778;0.05558888;0.11107778;0.05558888;66.66166767
02/10/2019;0.19998;0.06669333;0.19998;0.06669333;0.19998;0.06669333;0.13328667;0.06669333;50
04/10/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
06/10/2019;0.33333333;0;0.33333333;0;0;0;0.33333333;0;50
07/10/2019;0.250025;0.07140714;0.10711071;0.21432143;0.21432143;0.07140714;0.07140714;0;50
10/10/2019;0;0;0;0.6667;0;0;0.3333;0;100
11/10/2019;0.0833;0.25;0.0833;0.1667;0;0.25;0;0.1667;42.85959198
14/10/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
17/10/2019;0.3333;0;0.1667;0.1667;0.3333;0;0;0;50.00749962
26/10/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
28/10/2019;0.14288571;0;0.14288571;0.28567143;0;0.28567143;0.14288571;0;74.99562554
29/10/2019;0.11111111;0.11111111;0.22222222;0.33333333;0;0.11111111;0.11111111;0;71.42857143
08/11/2019;0.44444444;0;0.22222222;0.22222222;0.11111111;0;0;0;50
11/11/2019;0.25;0;0;0.5;0;0.25;0;0;66.66666667
12/11/2019;0.14291429;0.11431143;0.08570857;0.25712571;0.08570857;0.17141714;0.05710571;0.08570857;57.13333333
13/11/2019;0;0;0;1;0;0;0;0;100
18/11/2019;0.22222222;0.11111111;0.11111111;0.33333333;0.11111111;0.11111111;0;0;57.14285715
29/11/2019;0.14288571;0;0.28567143;0;0.42855714;0;0.14288571;0;66.65888941
14/12/2019;0.33333333;0;0;0.33333333;0;0.33333333;0;0;50
19/12/2019;0.11111111;0.22222222;0;0.22222222;0;0.22222222;0;0.22222222;40
07/01/2020;0.16668333;0;0;0.33326667;0.16668333;0;0.16668333;0.16668333;66.66
17/01/2020;0.4;0;0.2;0.2;0;0;0.2;0;50
26/01/2020;0.25;0;0;0.5;0;0.25;0;0;66.66666667
03/02/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
04/02/2020;0.3333;0;0;0;0.5;0;0;0.1667;0
11/02/2020;0;0.5;0;0.5;0;0;0;0;50
19/02/2020;0.2;0.2;0;0.4;0;0.2;0;0;50
22/02/2020;0.25;0;0.125;0.375;0;0;0.25;0;66.66666667
01/03/2020;0;0.16668333;0.16668333;0.33326667;0;0.16668333;0.11108889;0.05559444;74.99625018
06/03/2020;0.4;0;0.2;0;0.4;0;0;0;33.33333333
23/03/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
26/03/2020;0;0.16668333;0;0.49995;0;0.16668333;0.16668333;0;74.99625019
16/04/2020;0.2;0;0.3;0.2;0.1;0;0.2;0;71.42857143
09/05/2020;0.25;0.125;0;0.25;0.125;0.125;0;0.125;40
29/06/2020;0.3;0.1;0.2;0.2;0;0.1;0;0.1;50
07/07/2020;0.22222222;0;0.22222222;0.44444444;0;0;0.11111111;0;75
10/07/2020;0.1429;0.0714;0.2143;0.2143;0;0.2143;0.0714;0.0714;66.66666666
22/07/2020;0.5;0;0.5;0;0;0;0;0;50
29/07/2020;0.4;0;0;0.4;0;0;0;0.2;50
30/07/2020;0.33333333;0;0;0;0.33333333;0.33333333;0;0;0
07/08/2020;0.5;0;0.5;0;0;0;0;0;50
