Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
04/07/2019;0.39996;0.06669333;0.19998;0.06669333;0;0.19998;0;0.06669333;36.36487592
17/01/2020;0.5;0;0.5;0;0;0;0;0;50
28/01/2020;0.5;0;0.25;0.0833;0;0.1667;0;0;39.99759991
29/01/2020;0.5;0;0.5;0;0;0;0;0;50
31/01/2020;0.1667;0;0.5;0;0.0833;0.0833;0.1667;0;74.99625019
26/02/2020;0.2;0;0.3;0.1;0.2;0;0.2;0;66.66666667
27/02/2020;0.22727727;0;0.18178182;0.13638636;0.09089091;0.04549545;0.13638636;0.18178182;58.33180568
28/02/2020;0.27272727;0.09090909;0.27272727;0.09090909;0.18181818;0.09090909;0;0;50
04/03/2020;0.25;0;0.1875;0.0625;0.1875;0.125;0.0625;0.125;50
07/03/2020;0.125;0;0.375;0;0.125;0.125;0.25;0;75
09/03/2020;0.33333333;0;0.33333333;0;0;0.33333333;0;0;50
10/03/2020;0.3;0;0.4;0;0.25;0;0.05;0;57.14285714
11/03/2020;0.4082;0.0204;0.3878;0.0816;0.0204;0.0204;0.0408;0.0204;52.27171492
12/03/2020;0.29695939;0.02620524;0.28385677;0.10922184;0.1135227;0.0480096;0.07421484;0.0480096;54.88060314
13/03/2020;0.2778;0.0317;0.3254;0.1032;0.0873;0.0159;0.127;0.0317;58.06801247
14/03/2020;0.2407;0.0926;0.1852;0.1481;0.0926;0.1111;0.0556;0.0741;50
15/03/2020;0.33326667;0.03669633;0.29997;0.13668633;0.06329367;0.03669633;0.06669333;0.02669733;54.13412669
16/03/2020;0.34523452;0.02380238;0.31253125;0.07440744;0.10711071;0.05360536;0.05950595;0.02380238;51.18401905
17/03/2020;0.30316968;0.03459654;0.28187181;0.07449255;0.11168883;0.07449255;0.08509149;0.03459654;51.33967157
18/03/2020;0.3372;0.0147;0.2995;0.0884;0.0966;0.0687;0.0638;0.0311;52.43309002
19/03/2020;0.2904;0.0237;0.2523;0.0972;0.134;0.0565;0.0999;0.046;52.66726944
20/03/2020;0.29155831;0.02930586;0.28505701;0.14172835;0.08791758;0.05211042;0.0765153;0.03580716;57.08361243
21/03/2020;0.31443144;0.0420042;0.28342834;0.10421042;0.11331133;0.04390439;0.06580658;0.03290329;52.09677419
22/03/2020;0.3063;0.0184;0.2787;0.1011;0.1087;0.0475;0.1087;0.0306;53.91057487
23/03/2020;0.27377262;0.04989501;0.26337366;0.12038796;0.10068993;0.06489351;0.07339266;0.05359464;54.24734982
24/03/2020;0.31673167;0.0260026;0.25812581;0.10631063;0.10851085;0.06940694;0.06720672;0.04770477;51.53443643
25/03/2020;0.30303939;0.0244951;0.26654669;0.10787842;0.11817636;0.04569086;0.0884823;0.04569086;53.33997996
26/03/2020;0.29872987;0.03180318;0.25642564;0.14191419;0.10381038;0.05080508;0.08050805;0.0360036;54.65148189
27/03/2020;0.3095;0.0332;0.2788;0.1202;0.0972;0.046;0.0767;0.0384;53.79533504
28/03/2020;0.2972;0.0378;0.2796;0.1234;0.1209;0.0529;0.0479;0.0403;54.60704607
29/03/2020;0.28872887;0.03940394;0.25982598;0.10761076;0.14171417;0.04720472;0.07350735;0.0420042;52.82530554
30/03/2020;0.27907209;0.06469353;0.26427357;0.10538946;0.08689131;0.09059094;0.05549445;0.05359464;51.81499649
31/03/2020;0.25177482;0.06409359;0.27317268;0.14488551;0.08549145;0.06649335;0.07129287;0.04279572;56.96185286
01/04/2020;0.2873;0.0373;0.2675;0.1382;0.0965;0.0614;0.0811;0.0307;55.55251266
02/04/2020;0.29112911;0.02780278;0.28612861;0.1190119;0.1190119;0.05060506;0.06580658;0.04050405;55.95303868
03/04/2020;0.30513051;0.03560356;0.29322932;0.10341034;0.11691169;0.0610061;0.06270627;0.0220022;53.79085854
04/04/2020;0.308;0.032;0.28;0.088;0.136;0.048;0.068;0.04;51.97740113
05/04/2020;0.2727;0.039;0.2208;0.1169;0.1039;0.0779;0.0584;0.1104;52.00184786
06/04/2020;0.2964;0.0291;0.2727;0.1055;0.1127;0.0473;0.0836;0.0527;53.74449339
07/04/2020;0.28274345;0.05328934;0.28684263;0.10657868;0.09428114;0.06558688;0.07378524;0.03689262;53.93366217
08/04/2020;0.29167083;0.04169583;0.27077292;0.10418958;0.1249875;0.04429557;0.08589141;0.03649635;52.93619424
09/04/2020;0.2809;0.0375;0.2809;0.161;0.0562;0.0599;0.0674;0.0562;58.12179403
10/04/2020;0.2862;0.0172;0.3207;0.1138;0.0759;0.0862;0.0586;0.0414;58.88331752
11/04/2020;0.29094181;0.02459508;0.29504099;0.11477704;0.1024795;0.04509098;0.0819836;0.04509098;56.49896606
12/04/2020;0.28532853;0.04890489;0.2690269;0.10871087;0.11681168;0.05160516;0.07610761;0.04350435;53.05520438
