Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
17/09/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
06/10/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
07/10/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
28/10/2018;0;0.25;0.125;0.25;0.125;0.125;0;0.125;60
01/01/2019;0.5;0;0;0;0.25;0;0.25;0;0
03/01/2019;0;0;0;0.25;0;0;0;0.75;100
01/03/2019;0.3;0;0;0.3;0.2;0;0.2;0;50
04/03/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
12/03/2019;0.05880588;0.17651765;0.11761176;0.23532353;0;0.23532353;0.05880588;0.11761176;59.99659979
13/03/2019;0;0;0;0;0;1;0;0;NAN
15/03/2019;0.0667;0;0.4;0;0.1333;0;0.4;0;85.7081637
19/03/2019;0.2857;0;0.4286;0.2857;0;0;0;0;71.43
23/03/2019;0;0;0.11111111;0.33333333;0.11111111;0;0.33333333;0.11111111;100
24/03/2019;0.5;0;0;0;0.5;0;0;0;0
25/03/2019;0.1905;0;0.1905;0.3333;0.0476;0.0476;0.1429;0.0476;73.33053339
26/03/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
28/03/2019;0.33333333;0;0.33333333;0;0;0;0.33333333;0;50
06/04/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
07/04/2019;0.5;0;0;0.5;0;0;0;0;50
08/04/2019;0;1;0;0;0;0;0;0;0
10/04/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
11/04/2019;0.18176365;0.0454909;0.13637273;0.13637273;0.27264547;0.0454909;0.13637273;0.0454909;54.5490909
12/04/2019;0.1667;0;0.0833;0.0833;0.3333;0;0.1667;0.1667;49.9849985
15/04/2019;0.21052105;0;0.21052105;0.31583158;0.05260526;0;0.21052105;0;71.43051032
16/04/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
18/04/2019;0;0.11111111;0.22222222;0.11111111;0.22222222;0.11111111;0.11111111;0.11111111;75
22/04/2019;0;0;0;0.33333333;0;0;0.33333333;0.33333333;100
24/04/2019;0.25;0;0;0.5;0;0;0.25;0;66.66666667
25/04/2019;0;0.1;0.1;0.5;0;0.1;0.2;0;85.71428572
26/04/2019;0.0714;0;0.2143;0.2857;0.2143;0;0.1429;0.0714;87.50437522
27/04/2019;0.3;0;0.3;0.1;0.2;0;0.1;0;57.14285715
28/04/2019;0.09090909;0.09090909;0.09090909;0.09090909;0.18181818;0.18181818;0.09090909;0.18181818;50
29/04/2019;0.27272727;0.09090909;0.18181818;0.27272727;0.09090909;0.09090909;0;0;55.55555555
30/04/2019;0;0;0.5;0.5;0;0;0;0;100
02/05/2019;0.125;0;0.125;0.375;0.125;0.125;0.125;0;80
03/05/2019;0;0;0.5;0.5;0;0;0;0;100
04/05/2019;0;0;1;0;0;0;0;0;100
05/05/2019;0.2;0;0;0.4667;0.1333;0;0.1333;0.0667;70.00149993
06/05/2019;0.11111111;0;0.22222222;0.33333333;0.11111111;0.11111111;0.11111111;0;83.33333333
07/05/2019;0.25;0;0.3125;0.125;0.1875;0;0;0.125;63.63636363
08/05/2019;0.18181818;0.18181818;0.09090909;0.18181818;0.18181818;0.09090909;0.09090909;0;42.85714286
