Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
15/03/2019;0;0;0;0;0;1;0;0;NAN
10/04/2019;0.5;0;0;0;0.25;0.25;0;0;0
17/04/2019;0;0.33333333;0;0.33333333;0;0.33333333;0;0;50
04/05/2019;0.33333333;0;0.33333333;0;0.11111111;0;0.22222222;0;50
17/05/2019;0.33333333;0;0.33333333;0;0;0;0.33333333;0;50
27/05/2019;0.5;0;0;0.5;0;0;0;0;50
01/06/2019;0;1;0;0;0;0;0;0;0
21/06/2019;0.14287143;0.14287143;0;0.14287143;0;0.28564287;0.14287143;0.14287143;33.33333333
25/06/2019;0.16668333;0;0.16668333;0.249975;0.16668333;0.08329167;0.16668333;0;71.42612273
14/09/2019;0.28567143;0.14288571;0.28567143;0.14288571;0;0.14288571;0;0;50
04/01/2020;0;0;0;1;0;0;0;0;100
08/01/2020;0.25;0;0.25;0.25;0.25;0;0;0;66.66666666
05/02/2020;0.33326667;0;0.16668333;0.16668333;0;0.16668333;0.16668333;0;50.00749962
08/02/2020;0.49995;0;0.16668333;0.16668333;0;0;0.16668333;0;40.00479962
20/02/2020;0;0;0;0;0.5;0;0.5;0;NAN
18/03/2020;0;0.14288571;0.14288571;0.42855714;0;0.28567143;0;0;79.99720045
19/03/2020;0;0;0;0.6667;0;0;0.3333;0;100
24/03/2020;0.5;0;0;0.25;0.25;0;0;0;33.33333333
25/03/2020;0.42855714;0;0;0.14288571;0.42855714;0;0;0;25.00437445
26/03/2020;0.4;0;0.2;0.2;0;0;0.2;0;50
06/04/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
08/04/2020;0.16668333;0;0.16668333;0.33326667;0.16668333;0;0.16668333;0;74.99625018
17/04/2020;0.5;0;0;0;0.5;0;0;0;0
03/05/2020;0.5;0;0.25;0.25;0;0;0;0;50
14/05/2020;0.26667333;0;0.19998;0.06669333;0.19998;0.06669333;0.19998;0;50
16/08/2020;0;0;0;1;0;0;0;0;100
25/08/2020;0.4;0;0.2;0;0.2;0.2;0;0;33.33333333
31/08/2020;0;0;0;1;0;0;0;0;100
01/09/2020;0.25935187;0;0.14812963;0.14812963;0.22224445;0.14812963;0.0370074;0.0370074;53.32133286
02/09/2020;0.18181818;0.11361136;0.11361136;0.250025;0.15911591;0.02270227;0.13641364;0.02270227;55.17450683
03/09/2020;0.11111111;0.22222222;0;0.33333333;0;0.22222222;0;0.11111111;50
04/09/2020;0.375;0;0;0.125;0.375;0;0.125;0;25
08/09/2020;0;0.22222222;0;0.44444444;0.11111111;0.11111111;0;0.11111111;66.66666667
09/09/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
11/09/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
22/09/2020;0.33333333;0.33333333;0;0;0.33333333;0;0;0;0
23/09/2020;0.27272727;0;0.18181818;0.09090909;0.18181818;0;0.18181818;0.09090909;50
29/09/2020;0;0;0;0.6667;0;0.3333;0;0;100
16/10/2020;0;0;0;1;0;0;0;0;100
17/10/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
18/10/2020;0.5556;0;0;0.3333;0;0;0;0.1111;37.4957813
19/10/2020;0.10712142;0.10712142;0.10712142;0.32146429;0.07141428;0.17863573;0.03570714;0.07141428;66.67185364
20/10/2020;0.06669333;0.13328667;0.06669333;0.19998;0.19998;0.19998;0.06669333;0.06669333;57.14591815
21/10/2020;0;0;0;1;0;0;0;0;100
22/10/2020;0.21947805;0.09759024;0.1219878;0.21947805;0.14628537;0.09759024;0.04879512;0.04879512;51.85241421
23/10/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
24/10/2020;0.22222222;0;0.11111111;0.44444444;0.11111111;0.11111111;0;0;71.42857143
25/10/2020;0.25;0;0;0.5;0;0;0;0.25;66.66666667
26/10/2020;0;0.14288571;0;0.42855714;0.28567143;0.14288571;0;0;74.99562555
27/10/2020;0;0.0667;0.2;0.5333;0;0.2;0;0;91.6625
28/10/2020;0.18421842;0.02630263;0.18421842;0.21052105;0.18421842;0.02630263;0.10531053;0.07890789;65.21810971
29/10/2020;0;0.5;0;0.5;0;0;0;0;50
31/10/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/11/2020;0.5;0;0.5;0;0;0;0;0;50
02/11/2020;0.18181818;0.09090909;0.18181818;0.18181818;0;0.09090909;0.18181818;0.09090909;57.14285714
04/11/2020;0.25;0;0.25;0;0.25;0;0.25;0;50
10/11/2020;0.125;0.0625;0.125;0.25;0.1875;0.125;0.0625;0.0625;66.66666666
11/11/2020;0.5455;0;0;0.1818;0.2727;0;0;0;24.99656263
12/11/2020;0.4;0;0.1;0.1;0.1;0.1;0.1;0.1;33.33333334
20/11/2020;0;0.6;0;0.2;0;0;0;0.2;25
21/11/2020;0.375;0;0.125;0.125;0.3125;0;0.0625;0;40
24/11/2020;0.28572857;0;0.17141714;0.11431143;0.17141714;0.14291429;0.05710571;0.05710571;50
25/11/2020;0.26087391;0.04349565;0.13038696;0.26087391;0.04349565;0.21737826;0.04349565;0;56.24550812
26/11/2020;0.33333333;0;0.250025;0.08330833;0.08330833;0;0.16671667;0.08330833;50
