Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
06/04/2019;0;0;0;0;0;1;0;0;NAN
03/05/2019;0.38463846;0;0.23082308;0.15381538;0.15381538;0;0.07690769;0;50
11/05/2019;0.16668333;0.16668333;0.33326667;0.16668333;0;0.16668333;0;0;59.99520039
12/05/2019;0.3333;0;0.6667;0;0;0;0;0;66.67
13/05/2019;0.1667;0.0833;0.1667;0.0833;0.1667;0.0833;0.1667;0.0833;50
18/05/2019;0;0;0;0.5;0;0;0.5;0;100
22/05/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
13/06/2019;0;0.14288571;0;0.14288571;0;0.42855714;0;0.28567143;50
05/07/2019;0.2;0;0.2;0;0.2;0.4;0;0;50
29/07/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/08/2019;0;0;0;0;0.5;0.5;0;0;NAN
12/08/2019;0;0;0;0;0;1;0;0;NAN
26/08/2019;0.42855714;0;0.28567143;0.14288571;0;0;0.14288571;0;50
07/09/2019;0;0.33333333;0;0.33333333;0;0.33333333;0;0;50
06/10/2019;0.3333;0;0.1667;0;0.3333;0;0;0.1667;33.34
10/10/2019;0.25;0;0.25;0;0.5;0;0;0;50
15/10/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
29/10/2019;0;0;0;0.33333333;0;0;0.33333333;0.33333333;100
02/12/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
14/12/2019;0;0;0;0.5;0;0.5;0;0;100
30/01/2020;0;1;0;0;0;0;0;0;0
02/02/2020;0;0;0;0.6667;0;0;0.3333;0;100
09/02/2020;0;0.5714;0;0.1429;0;0.2857;0;0;20.00559989
12/02/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
15/02/2020;0.04760476;0.04760476;0.23812381;0.23812381;0.04760476;0.09520952;0.19051905;0.09520952;83.33916696
23/02/2020;0;0;0;0.6667;0;0.3333;0;0;100
01/03/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
04/03/2020;0;0.2;0.2;0.2;0;0.2;0;0.2;66.66666666
09/03/2020;0;0.2;0.2;0.4;0;0.2;0;0;75
18/03/2020;0.5;0;0.5;0;0;0;0;0;50
24/03/2020;0.33326667;0;0.16668333;0.16668333;0.16668333;0;0.16668333;0;50.00749962
28/03/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
10/04/2020;0.33333333;0;0.33333333;0;0;0;0.33333333;0;50
12/04/2020;0.11111111;0.11111111;0.11111111;0.11111111;0.22222222;0.11111111;0.11111111;0.11111111;50
23/04/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
30/04/2020;0.0833;0;0.1667;0.1667;0.1667;0.0833;0.25;0.0833;80.00959924
11/05/2020;0.25;0;0.25;0.25;0.25;0;0;0;66.66666666
20/05/2020;0;0;0;0.6;0.2;0;0.2;0;100
23/05/2020;0;0;0;0;1;0;0;0;NAN
02/06/2020;0;0;1;0;0;0;0;0;100
07/06/2020;0.22222222;0;0.33333333;0;0.11111111;0.11111111;0.11111111;0.11111111;60
13/06/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
18/06/2020;0.7143;0;0;0.2857;0;0;0;0;28.57
19/07/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
08/08/2020;0.3333;0;0;0.1667;0.1667;0.3333;0;0;33.34
09/10/2020;0.23534707;0.05881176;0.11762352;0.17653531;0.11762352;0.05881176;0.11762352;0.11762352;50
26/01/2021;0;0;0;1;0;0;0;0;100
12/02/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
02/03/2021;0.16668333;0;0.33326667;0.16668333;0;0;0.16668333;0.16668333;74.99625018
06/03/2021;0;0.3333;0;0.6667;0;0;0;0;66.67
09/03/2021;0.10711071;0.10711071;0.05360536;0.32143214;0.03570357;0.1250125;0.10711071;0.14291429;63.64562118
10/03/2021;0;0.14288571;0;0.32136786;0;0.14288571;0.14288571;0.249975;69.22248546
12/03/2021;0.125;0;0.25;0.125;0.25;0;0.125;0.125;75
